"","myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50","distribution","model","Diam_distribution"
"5478","myframe_S","E3",360,0.7783,0.9872,0.9995,0.9999,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5479","myframe_S","E3",600,0.8892,0.9993,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5480","myframe_S","E3",1000,0.9572,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5481","myframe_S","E4",10,0.2976,0.5499,0.7372,0.8647,0.9332,0.9661,0.9913,0.9976,"Triangular Ushaped","Model 4","Arb"
"5482","myframe_S","E4",15,0.3165,0.5949,0.788,0.9014,0.9523,0.9776,0.9956,0.9991,"Triangular Ushaped","Model 4","Arb"
"5483","myframe_S","E4",30,0.411,0.732,0.8949,0.9666,0.9882,0.9966,0.9999,1,"Triangular Ushaped","Model 4","Arb"
"5484","myframe_S","E4",45,0.4687,0.7812,0.9375,0.9825,0.9962,0.9988,1,1,"Triangular Ushaped","Model 4","Arb"
"5485","myframe_S","E4",80,0.5857,0.8969,0.9822,0.9968,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5486","myframe_S","E4",130,0.7062,0.9618,0.9973,0.9998,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5487","myframe_S","E4",215,0.8139,0.9923,0.9998,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5488","myframe_S","E4",360,0.9049,0.9992,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5489","myframe_S","E4",600,0.972,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5490","myframe_S","E4",1000,0.9967,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5491","myframe_S","E5",10,0.4239,0.7356,0.9004,0.9688,0.992,0.9981,0.9999,1,"Triangular Ushaped","Model 4","Arb"
"5492","myframe_S","E5",15,0.5261,0.8476,0.9677,0.9945,0.9989,0.9997,1,1,"Triangular Ushaped","Model 4","Arb"
"5493","myframe_S","E5",30,0.682,0.956,0.9965,0.9993,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5494","myframe_S","E5",45,0.7903,0.9869,0.9996,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5495","myframe_S","E5",80,0.8995,0.9989,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5496","myframe_S","E5",130,0.9656,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5497","myframe_S","E5",215,0.9942,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5498","myframe_S","E5",360,0.9994,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5499","myframe_S","E5",600,1,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5500","myframe_S","E5",1000,1,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5501","myframe_S","E6",10,0.4923,0.8157,0.958,0.9947,0.9998,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5502","myframe_S","E6",15,0.6003,0.9115,0.9915,0.9995,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5503","myframe_S","E6",30,0.7486,0.9783,0.9996,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5504","myframe_S","E6",45,0.8437,0.9951,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5505","myframe_S","E6",80,0.9434,0.9999,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5506","myframe_S","E6",130,0.984,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5507","myframe_S","E6",215,0.9983,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5508","myframe_S","E6",360,1,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5509","myframe_S","E6",600,1,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5510","myframe_S","E6",1000,1,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5511","myframe_S","E7",10,0.5213,0.8372,0.9655,0.9969,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5512","myframe_S","E7",15,0.5823,0.896,0.9856,0.9988,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5513","myframe_S","E7",30,0.7426,0.9759,0.9993,0.9999,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5514","myframe_S","E7",45,0.8336,0.9944,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5515","myframe_S","E7",80,0.9341,0.9998,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5516","myframe_S","E7",130,0.9809,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5517","myframe_S","E7",215,0.9974,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5518","myframe_S","E7",360,0.9997,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5519","myframe_S","E7",600,1,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5520","myframe_S","E7",1000,1,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5521","myframe_S","E8",10,0.4126,0.7225,0.8965,0.9682,0.9911,0.9973,1,1,"Triangular Ushaped","Model 4","Arb"
"5522","myframe_S","E8",15,0.4701,0.7873,0.9357,0.9829,0.9961,0.9994,1,1,"Triangular Ushaped","Model 4","Arb"
"5523","myframe_S","E8",30,0.6331,0.9293,0.9932,0.9995,0.9999,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5524","myframe_S","E8",45,0.7356,0.9698,0.9993,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5525","myframe_S","E8",80,0.8533,0.9948,0.9999,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5526","myframe_S","E8",130,0.9316,0.9996,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5527","myframe_S","E8",215,0.9823,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5528","myframe_S","E8",360,0.9978,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5529","myframe_S","E8",600,1,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5530","myframe_S","E8",1000,1,1,1,1,1,1,1,1,"Triangular Ushaped","Model 4","Arb"
"5531","myframe_S","E1",10,0.0222,0.0426,0.0645,0.0811,0.1019,0.1254,0.1678,0.2162,"Truncated Triangles","Model 4","Arb"
"5532","myframe_S","E1",15,0.0253,0.0505,0.0755,0.0994,0.1267,0.1546,0.2089,0.2716,"Truncated Triangles","Model 4","Arb"
"5533","myframe_S","E1",30,0.0357,0.0718,0.1069,0.1436,0.1843,0.2212,0.2993,0.3793,"Truncated Triangles","Model 4","Arb"
"5534","myframe_S","E1",45,0.0468,0.0943,0.1372,0.18,0.2248,0.2746,0.3687,0.4643,"Truncated Triangles","Model 4","Arb"
"5535","myframe_S","E1",80,0.0617,0.1221,0.1814,0.2392,0.2986,0.3549,0.4656,0.5785,"Truncated Triangles","Model 4","Arb"
"5536","myframe_S","E1",130,0.0775,0.1526,0.2289,0.3026,0.3725,0.4413,0.5705,0.673,"Truncated Triangles","Model 4","Arb"
"5537","myframe_S","E1",215,0.0955,0.1986,0.2952,0.3836,0.4644,0.5463,0.6796,0.7708,"Truncated Triangles","Model 4","Arb"
"5538","myframe_S","E1",360,0.1217,0.2459,0.3608,0.4688,0.5667,0.6453,0.7716,0.8486,"Truncated Triangles","Model 4","Arb"
"5539","myframe_S","E1",600,0.1625,0.3115,0.4491,0.5665,0.6627,0.7445,0.8525,0.9173,"Truncated Triangles","Model 4","Arb"
"5540","myframe_S","E1",1000,0.1962,0.3785,0.5346,0.6653,0.7597,0.8301,0.9141,0.9609,"Truncated Triangles","Model 4","Arb"
"5541","myframe_S","E2",10,0.0649,0.1307,0.1986,0.2689,0.3339,0.4015,0.524,0.6273,"Truncated Triangles","Model 4","Arb"
"5542","myframe_S","E2",15,0.0862,0.1674,0.2506,0.3322,0.4105,0.488,0.6281,0.7414,"Truncated Triangles","Model 4","Arb"
"5543","myframe_S","E2",30,0.1182,0.2376,0.3517,0.4566,0.5575,0.64,0.7823,0.8738,"Truncated Triangles","Model 4","Arb"
"5544","myframe_S","E2",45,0.1476,0.2914,0.4253,0.5493,0.6599,0.7477,0.8691,0.9329,"Truncated Triangles","Model 4","Arb"
"5545","myframe_S","E2",80,0.197,0.379,0.5459,0.6847,0.7886,0.8659,0.9491,0.9786,"Truncated Triangles","Model 4","Arb"
"5546","myframe_S","E2",130,0.2483,0.4743,0.6613,0.7996,0.8911,0.9438,0.985,0.9946,"Truncated Triangles","Model 4","Arb"
"5547","myframe_S","E2",215,0.3216,0.5925,0.7833,0.8975,0.9564,0.9834,0.9973,0.9998,"Truncated Triangles","Model 4","Arb"
"5548","myframe_S","E2",360,0.4104,0.7276,0.8974,0.971,0.9917,0.9972,0.9997,1,"Truncated Triangles","Model 4","Arb"
"5549","myframe_S","E2",600,0.5138,0.8322,0.9619,0.9943,0.9996,1,1,1,"Truncated Triangles","Model 4","Arb"
"5550","myframe_S","E2",1000,0.6274,0.9254,0.9932,0.9995,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5551","myframe_S","E3",10,0.1375,0.2716,0.4039,0.5262,0.6316,0.7168,0.8457,0.9121,"Truncated Triangles","Model 4","Arb"
"5552","myframe_S","E3",15,0.1807,0.3553,0.514,0.6416,0.7448,0.8263,0.9194,0.9614,"Truncated Triangles","Model 4","Arb"
"5553","myframe_S","E3",30,0.2579,0.4714,0.6577,0.7941,0.8816,0.9323,0.9791,0.993,"Truncated Triangles","Model 4","Arb"
"5554","myframe_S","E3",45,0.3023,0.5635,0.7617,0.8759,0.9433,0.9726,0.9935,0.9988,"Truncated Triangles","Model 4","Arb"
