"myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50","distribution","model","Diam_distribution","dist_name","tree_count"
"myframe_S",3,"n130",0.8407,0.9925,0.9997,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",130
"myframe_S",3,"n215",0.9221,0.9994,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",215
"myframe_S",3,"n360",0.9796,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",360
"myframe_S",3,"n600",0.9966,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",600
"myframe_S",3,"n1000",0.9998,1,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",1000
"myframe_S",2,"n10",0.1227,0.2412,0.3602,0.4708,0.5758,0.6634,0.7715,0.8198,"Truncated uniform right","Model 1","Uni","Truncated uniform right",10
"myframe_S",2,"n15",0.1481,0.2933,0.4349,0.5671,0.6779,0.7588,0.8429,0.8825,"Truncated uniform right","Model 1","Uni","Truncated uniform right",15
"myframe_S",2,"n30",0.206,0.4085,0.5837,0.7205,0.8148,0.87,0.9244,0.9512,"Truncated uniform right","Model 1","Uni","Truncated uniform right",30
"myframe_S",2,"n45",0.262,0.5022,0.6966,0.8233,0.8941,0.9282,0.9639,0.9808,"Truncated uniform right","Model 1","Uni","Truncated uniform right",45
"myframe_S",2,"n80",0.3394,0.6357,0.8256,0.9198,0.9568,0.9749,0.9912,0.9968,"Truncated uniform right","Model 1","Uni","Truncated uniform right",80
"myframe_S",2,"n130",0.4376,0.7571,0.9118,0.9699,0.9884,0.9953,0.9997,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",130
"myframe_S",2,"n215",0.5436,0.8596,0.9661,0.9922,0.9976,0.9993,0.9999,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",215
"myframe_S",2,"n360",0.6673,0.9458,0.9931,0.999,0.9998,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",360
"myframe_S",2,"n600",0.7821,0.9849,0.9994,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",600
"myframe_S",2,"n1000",0.8884,0.9977,1,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",1000
"myframe_S",1,"n10",0.0599,0.1171,0.1753,0.2382,0.3044,0.3671,0.4883,0.6078,"Truncated uniform right","Model 1","Uni","Truncated uniform right",10
"myframe_S",1,"n15",0.109,0.2168,0.3128,0.4092,0.5067,0.5914,0.7475,0.861,"Truncated uniform right","Model 1","Uni","Truncated uniform right",15
"myframe_S",1,"n30",0.142,0.286,0.4137,0.5389,0.6525,0.7527,0.9005,0.9681,"Truncated uniform right","Model 1","Uni","Truncated uniform right",30
"myframe_S",1,"n45",0.1628,0.3255,0.4694,0.6042,0.7208,0.8201,0.9406,0.986,"Truncated uniform right","Model 1","Uni","Truncated uniform right",45
"myframe_S",1,"n80",0.2537,0.4957,0.7006,0.8463,0.9406,0.9861,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",80
"myframe_S",1,"n130",0.2567,0.4983,0.7053,0.8599,0.9464,0.9879,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",130
"myframe_S",1,"n215",0.343,0.6355,0.845,0.9604,0.9954,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",215
"myframe_S",1,"n360",0.4517,0.7813,0.9461,0.9932,0.9997,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",360
"myframe_S",1,"n600",0.572,0.8988,0.9881,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",600
"myframe_S",1,"n1000",0.6918,0.9679,0.999,1,1,1,1,1,"Truncated uniform right","Model 1","Uni","Truncated uniform right",1000
"myframe_S",8,"n10",0.3433,0.6457,0.8379,0.9457,0.987,0.9977,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",10
"myframe_S",8,"n15",0.4902,0.8195,0.9608,0.9943,0.9997,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",15
"myframe_S",8,"n30",0.6636,0.9441,0.9973,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",30
"myframe_S",8,"n45",0.7581,0.9802,0.9992,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",45
"myframe_S",8,"n80",0.8853,0.9985,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",80
"myframe_S",8,"n130",0.9661,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",130
"myframe_S",8,"n215",0.993,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",215
"myframe_S",8,"n360",0.9991,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",360
"myframe_S",8,"n600",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",600
"myframe_S",8,"n1000",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",1000
"myframe_S",7,"n10",0.4948,0.8175,0.9538,0.9937,0.9996,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",10
"myframe_S",7,"n15",0.5927,0.8996,0.9878,0.9997,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",15
"myframe_S",7,"n30",0.7137,0.9687,0.9993,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",30
"myframe_S",7,"n45",0.8288,0.9938,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",45
"myframe_S",7,"n80",0.9147,0.9992,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",80
"myframe_S",7,"n130",0.9775,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",130
"myframe_S",7,"n215",0.996,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",215
"myframe_S",7,"n360",0.9997,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",360
"myframe_S",7,"n600",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",600
"myframe_S",7,"n1000",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",1000
"myframe_S",6,"n10",0.493,0.8191,0.9608,0.9953,0.9996,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",10
"myframe_S",6,"n15",0.585,0.9062,0.9894,0.9993,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",15
"myframe_S",6,"n30",0.7604,0.9841,0.9998,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",30
"myframe_S",6,"n45",0.85,0.9961,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",45
"myframe_S",6,"n80",0.9465,0.9998,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",80
"myframe_S",6,"n130",0.9864,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",130
"myframe_S",6,"n215",0.9994,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",215
"myframe_S",6,"n360",0.9998,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",360
"myframe_S",6,"n600",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",600
"myframe_S",6,"n1000",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",1000
"myframe_S",5,"n10",0.5767,0.8898,0.9842,0.9985,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",10
"myframe_S",5,"n15",0.6357,0.933,0.9931,0.9998,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",15
"myframe_S",5,"n30",0.8079,0.9932,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",30
"myframe_S",5,"n45",0.8701,0.9983,0.9999,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",45
"myframe_S",5,"n80",0.9587,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",80
"myframe_S",5,"n130",0.9926,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",130
"myframe_S",5,"n215",0.9999,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",215
"myframe_S",5,"n360",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",360
"myframe_S",5,"n600",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",600
"myframe_S",5,"n1000",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",1000
"myframe_S",4,"n10",0.4583,0.7612,0.9213,0.9744,0.9935,0.9984,0.9999,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",10
"myframe_S",4,"n15",0.5641,0.8771,0.9795,0.9973,0.9995,0.9999,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",15
"myframe_S",4,"n30",0.7203,0.9719,0.9988,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",30
"myframe_S",4,"n45",0.8214,0.9923,0.9999,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",45
"myframe_S",4,"n80",0.934,0.9997,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",80
"myframe_S",4,"n130",0.9798,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",130
"myframe_S",4,"n215",0.9972,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",215
"myframe_S",4,"n360",0.9998,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",360
"myframe_S",4,"n600",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",600
"myframe_S",4,"n1000",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",1000
"myframe_S",3,"n10",0.2958,0.5615,0.7474,0.8537,0.9133,0.9416,0.9678,0.983,"Truncated uniform right","Model 3","Uni","Truncated uniform right",10
"myframe_S",3,"n15",0.3739,0.6767,0.8488,0.9294,0.9615,0.9785,0.9924,0.9968,"Truncated uniform right","Model 3","Uni","Truncated uniform right",15
"myframe_S",3,"n30",0.5034,0.8145,0.941,0.9781,0.9917,0.9975,0.9998,0.9999,"Truncated uniform right","Model 3","Uni","Truncated uniform right",30
"myframe_S",3,"n45",0.5962,0.8989,0.9787,0.9956,0.9985,0.9997,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",45
"myframe_S",3,"n80",0.7266,0.9665,0.9961,0.9996,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",80
"myframe_S",3,"n130",0.8442,0.9921,0.9998,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",130
"myframe_S",3,"n215",0.9305,0.9992,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",215
"myframe_S",3,"n360",0.9771,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",360
"myframe_S",3,"n600",0.9964,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",600
"myframe_S",3,"n1000",0.9997,1,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",1000
"myframe_S",2,"n10",0.121,0.2394,0.3518,0.4641,0.5688,0.6561,0.7663,0.8171,"Truncated uniform right","Model 3","Uni","Truncated uniform right",10
"myframe_S",2,"n15",0.1474,0.2927,0.4295,0.5589,0.6632,0.7459,0.8346,0.877,"Truncated uniform right","Model 3","Uni","Truncated uniform right",15
"myframe_S",2,"n30",0.2147,0.4178,0.5859,0.7249,0.819,0.8765,0.9266,0.9537,"Truncated uniform right","Model 3","Uni","Truncated uniform right",30
"myframe_S",2,"n45",0.266,0.5037,0.6915,0.8203,0.8909,0.9296,0.9663,0.9825,"Truncated uniform right","Model 3","Uni","Truncated uniform right",45
"myframe_S",2,"n80",0.3537,0.6399,0.8314,0.9201,0.9589,0.9798,0.9932,0.9974,"Truncated uniform right","Model 3","Uni","Truncated uniform right",80
"myframe_S",2,"n130",0.4268,0.7461,0.9079,0.9667,0.9864,0.9951,0.9992,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",130
"myframe_S",2,"n215",0.5425,0.858,0.9665,0.9915,0.9974,0.9994,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",215
"myframe_S",2,"n360",0.6611,0.9448,0.9934,0.9991,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",360
"myframe_S",2,"n600",0.786,0.9872,0.9996,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",600
"myframe_S",2,"n1000",0.8909,0.9977,1,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",1000
"myframe_S",1,"n10",0.0622,0.1288,0.1922,0.2503,0.312,0.3752,0.4921,0.607,"Truncated uniform right","Model 3","Uni","Truncated uniform right",10
"myframe_S",1,"n15",0.1043,0.2073,0.3076,0.4004,0.4902,0.5834,0.7424,0.8587,"Truncated uniform right","Model 3","Uni","Truncated uniform right",15
"myframe_S",1,"n30",0.1482,0.2947,0.4293,0.5544,0.664,0.763,0.9053,0.9742,"Truncated uniform right","Model 3","Uni","Truncated uniform right",30
"myframe_S",1,"n45",0.1675,0.3263,0.4748,0.6055,0.7251,0.8189,0.9412,0.9847,"Truncated uniform right","Model 3","Uni","Truncated uniform right",45
"myframe_S",1,"n80",0.2559,0.4876,0.6936,0.8449,0.9384,0.9845,0.9999,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",80
"myframe_S",1,"n130",0.2684,0.5135,0.7151,0.8561,0.9497,0.9891,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",130
"myframe_S",1,"n215",0.3512,0.6468,0.8536,0.9606,0.9962,0.9998,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",215
"myframe_S",1,"n360",0.4467,0.7766,0.9419,0.9932,0.9998,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",360
"myframe_S",1,"n600",0.5731,0.8967,0.9883,0.9997,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",600
"myframe_S",1,"n1000",0.6969,0.9638,0.9992,1,1,1,1,1,"Truncated uniform right","Model 3","Uni","Truncated uniform right",1000
"myframe_S",8,"n10",0.3398,0.6363,0.8318,0.9411,0.9859,0.998,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",10
"myframe_S",8,"n15",0.483,0.8165,0.9569,0.9936,0.9997,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",15
"myframe_S",8,"n30",0.6596,0.9448,0.9968,0.9999,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",30
"myframe_S",8,"n45",0.7548,0.9803,0.9999,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",45
"myframe_S",8,"n80",0.8895,0.9983,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",80
"myframe_S",8,"n130",0.9646,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",130
"myframe_S",8,"n215",0.9929,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",215
"myframe_S",8,"n360",0.9997,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",360
"myframe_S",8,"n600",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",600
"myframe_S",8,"n1000",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",1000
"myframe_S",7,"n10",0.492,0.8147,0.9563,0.9943,0.9996,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",10
"myframe_S",7,"n15",0.5918,0.8984,0.9872,0.9997,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",15
"myframe_S",7,"n30",0.7166,0.9716,0.9989,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",30
"myframe_S",7,"n45",0.8272,0.9947,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",45
"myframe_S",7,"n80",0.9184,0.9996,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",80
"myframe_S",7,"n130",0.9778,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",130
"myframe_S",7,"n215",0.9955,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",215
"myframe_S",7,"n360",0.9999,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",360
"myframe_S",7,"n600",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",600
"myframe_S",7,"n1000",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",1000
"myframe_S",6,"n10",0.496,0.8282,0.9609,0.9952,0.9994,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",10
"myframe_S",6,"n15",0.5895,0.9029,0.9901,0.9996,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",15
"myframe_S",6,"n30",0.7673,0.9833,0.9998,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",30
"myframe_S",6,"n45",0.8433,0.9962,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",45
"myframe_S",6,"n80",0.9455,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",80
"myframe_S",6,"n130",0.9868,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",130
"myframe_S",6,"n215",0.9985,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",215
"myframe_S",6,"n360",0.9999,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",360
"myframe_S",6,"n600",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",600
"myframe_S",6,"n1000",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",1000
"myframe_S",5,"n10",0.5606,0.892,0.9846,0.999,0.9999,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",10
"myframe_S",5,"n15",0.634,0.9344,0.9955,0.9999,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",15
"myframe_S",5,"n30",0.8123,0.9909,0.9999,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",30
"myframe_S",5,"n45",0.875,0.9972,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",45
"myframe_S",5,"n80",0.9575,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",80
"myframe_S",5,"n130",0.9907,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",130
"myframe_S",5,"n215",0.9994,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",215
"myframe_S",5,"n360",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",360
"myframe_S",5,"n600",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",600
"myframe_S",5,"n1000",1,1,1,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",1000
"myframe_S",4,"n10",0.4488,0.77,0.9256,0.9783,0.9944,0.9982,0.9996,0.9999,"Truncated uniform right","Model 4","Uni","Truncated uniform right",10
"myframe_S",4,"n15",0.5627,0.8829,0.9775,0.9961,0.9989,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",15
"myframe_S",4,"n30",0.7356,0.9736,0.9996,1,1,1,1,1,"Truncated uniform right","Model 4","Uni","Truncated uniform right",30
